dz_label,int_geog,overall_deprivation_rank_2004,overall_deprivation_rank_2006,overall_deprivation_rank_2009,overall_deprivation_rank_2012,income_deprivation_rank_2004,income_deprivation_rank_2006,income_deprivation_rank_2009,income_deprivation_rank_2012,employment_deprivation_rank_2004,employment_deprivation_rank_2006,employment_deprivation_rank_2009,employment_deprivation_rank_2012,health_deprivation_rank_2004,health_deprivation_rank_2006,health_deprivation_rank_2009,health_deprivation_rank_2012,education_deprivation_rank_2004,education_deprivation_rank_2006,education_deprivation_rank_2009,education_deprivation_rank_2012,housing_deprivation_rank_2004,housing_deprivation_rank_2006,housing_deprivation_rank_2009,housing_deprivation_rank_2012,crime_deprivation_rank_2006,crime_deprivation_rank_2009,crime_deprivation_rank_2012
S01003025,Carmunnock South,4812,4766,4557,4963,4420,3949,4639,4776,3930,4717,4243,4834,4227,4466,4578,5194,6073,5835,6043,5828,4157,4157,4157,4157,4070,3208,4491
S01003026,Carmunnock South,1507,1468,502,920,1389,1033,283,435,1611,1725,599,1869,736,907,387,583,4141,3465,2861,2389,1713,1713,1713,1713,2302,750,1378
S01003027,Darnley East,4251,4739,4989,5378,4032,4394,4285,4746,4947,4810,5619,4954,4840,3852,4494,5264,4360,4808,5379,5429,2284,2284,2284,2284,4645,5606,5408
S01003028,Glenwood South,94,123,277,122,53,91,195,172,102,204,355,196,124,112,197,81,267,224,499,133,1029,1029,1029,1029,2715,1485,508
S01003029,Carmunnock South,49,156,253,392,44,143,261,459,67,137,259,405,59,74,248,292,328,779,565,693,547,547,547,547,2583,1293,1126
S01003030,Glenwood South,70,480,483,533,36,330,345,315,107,474,368,346,122,406,600,1051,130,723,932,1096,1242,1242,1242,1242,3978,3478,2512
S01003031,Glenwood South,92,2755,3595,3870,179,6473,6504,6502,126,6490,6503,6503,14,3585,6496,3061,399,28,73,762,146,146,146,146,1884,6493,6487
S01003032,Glenwood South,141,435,384,523,214,586,503,469,268,1075,577,956,112,280,225,625,151,114,213,253,299,299,299,299,513,1159,2027
S01003033,Glenwood South,152,171,321,345,204,215,238,290,164,194,293,300,143,203,781,1501,296,71,229,155,518,518,518,518,3721,2008,1230
S01003034,Darnley East,2752,3398,2989,3175,2880,3315,2574,2846,3015,3103,2661,2528,2348,3059,3032,3617,2662,3233,3327,3893,1349,1349,1349,1349,4558,4776,3201
S01003035,Glenwood South,112,229,296,295,103,272,281,335,151,376,372,323,188,143,128,347,319,352,823,295,839,839,839,839,210,561,1606
S01003036,Glenwood South,50,72,77,56,115,87,91,57,21,61,63,30,28,35,34,67,166,161,434,362,605,605,605,605,3296,1380,1150
S01003037,Darnley West,3283,3453,3357,3997,3348,4350,2721,4211,3514,4469,5003,5113,2743,2160,2536,2730,3163,3139,3703,3848,1118,1118,1118,1118,3615,4728,3759
