Rtype,RegionCode,RegionName,Duration_2005,Duration_2010,Duration_2011,Duration_2012,Duration_2013,Duration_2014,Duration_2015,Duration_2016,Duration_male_2005,Duration_male_2010,Duration_male_2011,Duration_male_2012,Duration_male_2013,Duration_male_2014,Duration_male_2015,Duration_male_2016,Duration_female_2005,Duration_female_2010,Duration_female_2011,Duration_female_2012,Duration_female_2013,Duration_female_2014,Duration_female_2015,Duration_female_2016,Morbidity_2005,Morbidity_2010,Morbidity_2011,Morbidity_2012,Morbidity_2013,Morbidity_2014,Morbidity_2015,Morbidity_2016
federation,Russian Federation,Российская Федерация,65.37,68.94,69.83,70.24,70.76,70.93,71.39,71.87,58.92,63.09,64.04,64.56,65.13,65.29,65.92,66.5,72.47,74.88,75.61,75.86,76.3,76.47,76.71,77.06,743.7,780,796.9,793.9,799.4,787.1,778.2,785.3
fregion,Central,Центральный федеральный округ,66.5,69.93,71.19,71.43,71.93,72.1,72.72,73.07,60.01,64.17,65.51,65.86,66.45,66.58,67.49,67.97,73.53,75.65,76.71,76.81,77.21,77.45,77.71,77.9,694.9,720.2,734.7,732.2,720.9,715,698.9,704
fdistrict,RU-BEL,Белгородская область,68.43,71.31,71.71,71.91,72.16,72.25,72.61,72.87,62.22,66.03,66.22,66.48,66.86,66.9,67.33,67.68,75.02,76.47,77.11,77.18,77.32,77.48,77.73,77.88,780,756.7,777.6,782.1,775.8,736.4,707.4,745.7
fregion,RU-BRY,Брянская область,63.4,67.92,68.83,69.06,69.75,69.42,70.36,70.92,56.06,61.47,62.28,62.59,63.32,63.04,64.32,64.96,72.22,74.75,75.71,75.77,76.32,75.99,76.37,76.81,756.4,820.2,855.9,847.8,861.1,826.3,782.1,776
fregion,RU-VLA,Владимирская область,63.51,67.12,68.08,68.6,69.13,69.25,69.82,70.28,56.41,60.64,61.77,62.29,62.78,62.9,63.86,64.39,71.58,73.81,74.42,74.88,75.44,75.58,75.59,75.95,877.6,926.8,931.4,941.3,924,913.9,937.7,944.2
fregion,RU-VOR,Воронежская область,66.5,69.45,70.41,70.84,70.89,70.82,71.67,72.08,59.76,63.4,64.45,64.86,64.81,64.67,65.66,66.2,73.99,75.68,76.44,76.86,77.03,77.12,77.7,77.94,525.4,549.9,553.3,542.5,525,527.3,545.6,549.9
fregion,RU-IVA,Ивановская область,62.17,67.09,68.56,69.3,69.84,69.88,70.62,70.77,55.11,60.82,62.19,63.25,63.9,63.76,64.71,64.94,70.38,73.36,74.79,75.06,75.42,75.71,76.14,76.21,824.5,897.5,941.7,966.1,943.1,930.2,877.5,887.6
fregion,RU-KLU,Калужская область,64.38,68.1,69.49,69.39,70.02,69.93,70.73,71.18,57.58,61.76,63.45,63.54,64.43,63.42,65.13,65.46,72.14,74.76,75.63,75.26,75.51,76.76,76.28,76.87,777.4,757.9,716,728.1,721,696.7,712.4,753.7
fregion,RU-KOS,Костромская область,62.59,67.5,68.45,69.5,69.86,70.05,70.38,70.87,55.93,61.34,62.67,63.62,64.31,64.1,64.94,65.56,70.47,73.91,74.27,75.32,75.29,76,75.68,75.98,682.6,798.9,796.1,750.3,754.6,762.6,768.9,715.7
fregion,RU-KRS,Курская область,65.01,68.53,69.27,69.66,70.14,70.11,70.8,70.94,58.01,62.32,63.04,63.49,64.27,63.79,64.81,65.19,73.12,74.94,75.67,75.9,76,76.56,76.78,76.58,635.8,577.6,618.5,588,570.1,534.8,542.6,540.2
fregion,RU-LIP,Липецкая область,66.16,68.59,69.87,70.03,70.66,70.6,71.07,71.62,59.37,62.09,63.49,63.77,64.56,64.5,65.26,65.98,73.8,75.44,76.41,76.39,76.77,76.68,76.77,77.11,710.3,682.3,715.8,706.8,694,698.4,671,666.2
fregion,RU-MOS,Московская область,66.03,69.13,70.36,70.4,70.78,70.94,72.26,72.5,59.28,63.29,64.69,64.73,65.1,65.31,67.05,67.33,73.28,74.92,75.85,75.91,76.3,76.39,77.12,77.32,595.5,660.8,686.5,702.2,697.4,735.9,707.5,695.6
fregion,RU-ORL,Орловская область,64.97,68.4,69.48,69.51,70.22,69.88,70.38,70.73,58.07,62.16,63.21,63.07,64.36,63.32,63.96,64.85,72.78,74.78,75.82,76.02,75.92,76.56,76.83,76.49,828.5,873.9,891.2,943.3,911,932.3,970.2,951.9
fregion,RU-RYA,Рязанская область,64.11,67.81,69.34,69.86,70.74,70.8,71.46,71.87,56.8,61.22,63.03,63.79,64.77,64.79,65.72,66.01,72.8,74.83,75.8,75.96,76.61,76.78,77.08,77.65,651.3,701.7,703.5,706.9,689.4,696.2,695,704.9
fregion,RU-SMO,Смоленская область,62.24,66.59,68.12,68.49,68.9,69.44,69.74,69.98,55.17,60.06,61.83,62.44,62.93,63.36,64.08,64.29,70.63,73.58,74.58,74.63,74.97,75.62,75.34,75.63,768.1,764.9,756.9,738.7,757.9,719,685.6,722.4
fregion,RU-TAM,Тамбовская область,65.61,69.22,70.18,70.67,70.93,71.11,71.67,72.11,58.61,62.97,63.93,64.62,64.87,65.3,65.9,66.42,73.78,75.82,76.68,76.89,77.15,77.03,77.51,77.78,726.6,706.2,673.9,661.9,639.8,645.8,646.8,652.6
fregion,RU-TVE,Тверская область,61.55,65.9,67.02,67.86,68.13,68.43,69.1,69.24,54.51,59.47,60.8,61.7,62.28,62.33,63.33,63.47,69.88,72.81,73.48,74.18,74.03,74.7,74.85,75,747.7,833.8,875.4,920.6,903.8,881.1,903.1,868.3
fregion,RU-TUL,Тульская область,62.97,67.11,68.63,68.86,69.41,69.63,70.06,70.56,55.98,60.75,62.47,62.67,63.22,63.6,64.01,64.77,71.06,73.67,74.77,75.05,75.57,75.57,76.01,76.13,737.3,726.6,712.8,707.3,720.3,718.6,719.7,723.3
fregion,RU-YAR,Ярославская область,63.93,68.39,69.95,69.87,70.45,70.64,70.98,71.21,56.83,61.79,63.48,63.58,64.25,64.15,64.95,65.35,71.97,75.06,76.26,75.9,76.37,76.92,76.69,76.74,902.6,906.6,896.8,881.1,846.1,840,857.5,899.9
fregion,RU-MOW,г. Москва,71.59,74.15,75.79,75.74,76.37,76.7,76.77,77.08,66.72,69.88,71.47,71.6,72.31,72.77,72.96,73.48,76.31,78.14,79.81,79.59,80.17,80.38,80.36,80.43,679.6,696.6,715.1,698.6,684.2,662.3,631.4,645
fregion,Northwestern,Северо-Западный федеральный округ,64.17,68.9,70.07,70.57,71.25,71.42,71.7,72.16,57.48,62.94,64.17,64.84,65.65,65.86,66.28,66.79,71.6,74.82,75.81,76.08,76.57,76.73,76.83,77.2,758.9,850.8,860.4,860.4,856.6,853.5,877.3,930.2
fdistrict,RU-KR,Республика Карелия,61.84,66.42,67.95,68,69.19,69.36,69.16,69.78,55.03,59.82,61.75,61.42,63.17,62.99,62.86,63.72,69.85,73.41,74.23,74.7,75.05,75.69,75.5,75.74,1027.1,1078.8,1100.9,1076.1,1115.4,1113.8,1114.3,1126.2
fregion,RU-KO,Республика Коми,62.12,66.87,67.95,68.33,69.27,69.05,69.4,69.45,55.82,60.73,61.62,62.27,63.22,63.05,63.26,63.61,69.46,73.32,74.58,74.54,75.39,75.12,75.66,75.3,960.4,1035.2,1047.2,1053.5,1047.4,1054.8,1072,1121.2
fregion,RU-ARK,Архангельская область,62.97,67.99,68.84,69.71,70.27,70.2,70.7,70.8,56.18,61.77,62.78,63.8,64.27,64.16,64.84,64.96,71.08,74.59,75.06,75.64,76.3,76.32,76.6,76.65,903,1021.4,1036.3,1042.3,1008.6,991.3,1015.9,1002.2
fregion,RU-NEN,Ненецкий автономный округ,62.97,64.92,66.71,68.21,65.76,70.65,71,71.08,55.59,59.15,60.61,62,60.22,64.72,65.22,63.86,72.43,71.36,73.47,75.86,75.21,76.21,76.9,78.36,1632.4,1813.8,1750.4,1752,1573.1,1436.8,1421.4,1380.7
fregion,RU-VLG,Вологодская область,63.18,67.08,68.36,69.21,69.35,69.74,70.4,70.24,56.12,60.61,62.05,63.09,63.21,63.66,64.38,64.15,71.72,74.17,75.06,75.52,75.63,75.93,76.47,76.42,803.1,886.3,882.4,867.9,849.2,853.1,889.4,917.6
fregion,RU-KGD,Калининградская область,61.48,68.75,69.9,70.12,70.51,70.28,70.58,71.92,54.86,63.26,64.38,64.82,65.1,64.82,65.5,66.98,69.35,74.16,75.26,75.17,75.68,75.58,75.4,76.54,702.7,799.9,811.8,811.8,810.5,755.1,701.5,823.4
fregion,RU-LEN,Ленинградская область,62.43,68.09,69.44,69.77,70.36,70.28,71.23,71.7,55.74,62.21,63.53,64.07,64.73,64.78,65.84,66.49,70.21,74.14,75.48,75.57,76.05,75.87,76.6,76.82,518.7,548.5,553.4,554,533.4,584.6,617,664.1
fregion,RU-MUR,Мурманская область,63.83,68.43,68.93,69.81,70.46,69.97,70.24,70.94,57.65,62.69,62.97,63.94,65.15,64.02,64.48,65.71,70.46,73.9,74.62,75.34,75.26,75.72,75.72,75.61,799.3,891.9,851.2,853.3,896.7,850.3,835.5,875.8
fregion,RU-NGR,Новгородская область,61.76,65.04,66.46,67.55,67.67,68.41,68.7,69.15,54.74,58.47,59.71,61.03,60.89,62.29,62.47,62.92,70.12,72.15,73.61,74.24,74.75,74.49,74.93,75.39,834.6,881.7,897.1,897.1,939.6,931.2,896.5,887.6
fregion,RU-PSK,Псковская область,60.2,64.59,66.47,66.53,67.82,68.07,68.48,69.25,53.81,58.04,60.3,60.24,61.81,62.13,62.78,63.41,68.15,72.05,73.1,73.37,74.05,74.21,74.27,75.19,595.6,677.2,676,680,697.7,667.1,660.6,709.5
fregion,RU-SPE,г. Санкт-Петербург,68.03,72.06,73.06,73.43,74.22,74.57,74.42,74.9,61.67,66.76,67.79,68.43,69.43,69.83,69.83,70.25,74.28,76.79,77.71,77.81,78.38,78.68,78.38,78.94,724.9,857.1,878.8,883.5,877.2,877.7,931.5,1009.6
fregion,Southern,Южный федеральный округ,67.14,70.12,70.65,71.26,71.76,71.74,72.13,72.29,61.05,64.67,65.3,65.98,66.59,66.54,67.05,67.24,73.66,75.59,75.96,76.46,76.79,76.83,77.06,77.17,677.8,685.6,709.6,716.4,723.2,688.1,669,680.1
fdistrict,RU-AD,Республика Адыгея,68.07,69.95,70.99,71.68,71.8,72.01,72.22,72.59,61.93,64.28,65.8,66.35,66.55,66.85,66.88,67.66,74.59,75.74,76.14,76.96,76.97,77.06,77.51,77.35,628.7,694.8,690,688.7,654.8,647.6,659.4,661.1
fregion,RU-KL,Республика Калмыкия,67.24,69.35,70.8,71.22,71.35,72.03,72.15,73.35,61.17,63.85,65.18,65.78,65.65,67.01,67.01,67.78,73.87,75.08,76.62,76.83,77.25,77.03,77.31,78.94,700.6,680,667.9,719.8,694.3,660.6,658.5,719.9
fregion,RU-KDA,Краснодарский край,67.55,70.95,71.15,71.74,72.29,72.28,72.53,72.83,61.59,65.63,66.03,66.64,67.16,67.2,67.55,67.85,73.91,76.22,76.16,76.7,77.27,77.23,77.35,77.64,555.6,575.5,621.3,646.8,665.5,662.3,649.5,669.9
