Rtype,RegionCode,RegionName,CarAccidents,Deaths
federation,Russian Federation,Российская Федерация,71.39,71.87
fregion,Central,Центральный федеральный округ,72.72,73.07
fdistrict,RU-BEL,Белгородская область,72.61,72.87
fregion,RU-BRY,Брянская область,70.36,70.92
fregion,RU-VLA,Владимирская область,69.82,70.28
fregion,RU-VOR,Воронежская область,71.67,72.08
fregion,RU-IVA,Ивановская область,70.62,70.77
fregion,RU-KLU,Калужская область,70.73,71.18
fregion,RU-KOS,Костромская область,70.38,70.87
fregion,RU-KRS,Курская область,70.8,70.94
fregion,RU-LIP,Липецкая область,71.07,71.62
fregion,RU-MOS,Московская область,72.26,72.5
fregion,RU-ORL,Орловская область,70.38,70.73
fregion,RU-RYA,Рязанская область,71.46,71.87
fregion,RU-SMO,Смоленская область,69.74,69.98
fregion,RU-TAM,Тамбовская область,71.67,72.11
fregion,RU-TVE,Тверская область,69.1,69.24
fregion,RU-TUL,Тульская область,70.06,70.56
fregion,RU-YAR,Ярославская область,70.98,71.21
fregion,RU-MOW,г. Москва,76.77,77.08
fregion,Northwestern,Северо-Западный федеральный округ,71.7,72.16
fdistrict,RU-KR,Республика Карелия,69.16,69.78
fregion,RU-KO,Республика Коми,69.4,69.45
fregion,RU-ARK,Архангельская область,70.71,70.82
fregion,RU-NEN,Ненецкий автономный округ,71,71.08
fregion,RU-VLG,Вологодская область,70.4,70.24
fregion,RU-KGD,Калининградская область,70.58,71.92
fregion,RU-LEN,Ленинградская область,71.23,71.7
fregion,RU-MUR,Мурманская область,70.24,70.94
fregion,RU-NGR,Новгородская область,68.7,69.15
fregion,RU-PSK,Псковская область,68.48,69.25
fregion,RU-SPE,г. Санкт-Петербург,74.42,74.9
fregion,Southern,Южный федеральный округ1),72.13,72.29
fdistrict,RU-AD,Республика Адыгея,72.22,72.59
fregion,RU-KL,Республика Калмыкия,72.15,73.35
fregion,RU-KDA,Краснодарский край,72.53,72.83
fregion,RU-AST,Астраханская область,71.36,72.2
fregion,RU-VGG,Волгоградская область,71.98,72.49
fregion,RU-ROS,Ростовская область,71.9,72.2
fregion,Northcaucasian,Северо-Кавказский федеральный округ,74.63,75.13
fdistrict,RU-DA,Республика Дагестан,76.39,77.23
fregion,RU-KB,Кабардино-Балкарская,74.61,75.12
fregion,RU-KC,Карачаево-Черкесская Республика,74.44,74.72
fregion,RU-SE,Республика Северная Осетия - Алания,74.2,75.05
fregion,RU-CE & RU-IN,Чеченская Республика ,73.45,74.2
fregion,RU-STA,Ставропольский край,73.36,73.4
fregion,Volga,Приволжский федеральный округ,70.71,71.39
fdistrict,RU-BA,Республика Башкортостан,70.08,71
fregion,RU-ME,Республика Марий Эл,69.8,70.75
fregion,RU-MO,Республика Мордовия,72.06,72.25
fregion,RU-TA,Республика Татарстан,72.81,73.64
fregion,RU-UD,Удмуртская Республика,70.46,70.86
fregion,RU-CU,Чувашская Республика,71.35,71.52
fregion,RU-PER,Пермский край,69.09,69.74
fregion,RU-KIR,Кировская область,71.11,71.71
fregion,RU-NIZ,Нижегородская область ,70.17,70.75
fregion,RU-ORE,Оренбургская область,69.63,70.57
fregion,RU-PNZ,Пензенская область,72.12,72.53
fregion,RU-SAM,Самарская область,70.35,71.08
fregion,RU-SAR,Саратовская область,71.4,72.07
fregion,RU-ULY,Ульяновская область,70.46,70.97
fregion,Urals,Уральский федеральный округ,70.38,70.82
fdistrict,RU-KGN,Курганская область,69.03,69.43
fregion,RU-SVE,Свердловская область ,69.83,70.02
fregion,RU-TYU,Тюменская область,71.76,72.33
fregion,RU-KHM,Ханты-Мансийский автономный округ – Югра,72.58,73.5
fregion,RU-YAN,Ямало-Ненецкий,71.7,72.13
fregion,RU-TYU,Тюменская область,70.58,71.03
fregion,RU-CHE,Челябинская область,69.9,70.5
fregion,Siberia,Сибирский федеральный округ,69.31,69.81
fdistrict,RU-AL,Республика Алтай,68.44,70.13
fregion,RU-BU,Республика Бурятия,69.15,69.61
fregion,RU-TY,Республика Тыва,63.13,64.21
fregion,RU-KK,Республика Хакасия,68.68,69.33
fregion,RU-ALT,Алтайский край,70.44,70.74
fregion,RU-ZAB,Забайкальский край,67.34,68.33
fregion,RU-KYA,Красноярский край,69.69,70.01
fregion,RU-IRK,Иркутская область,67.37,68.2
fregion,RU-KEM,Кемеровская область,68.31,68.72
fregion,RU-NVS,Новосибирская область ,70.86,71.2
fregion,RU-OMS,Омская область,70.41,70.78
fregion,RU-TOM,Томская область,71.25,71.66
fregion,Far_Eastern,Дальневосточный федеральный округ,68.68,69.22
fdistrict,RU-SA,Республика Саха (Якутия),70.29,70.84
fregion,RU-KAM,Камчатский край,68.56,68.66
fregion,RU-PRI,Приморский край,69.21,69.66
fregion,RU-KHA,Хабаровский край ,68.72,69.13
fregion,RU-AMU,Амурская область,67.27,68.28
fregion,RU-MAG,Магаданская область,68.11,69
fregion,RU-SAK,Сахалинская область,67.99,68.66
fregion,RU-YEV,Еврейская автономная область,65.04,65.88
fregion,RU-CHU,Чукотский автономный округ,64.16,64.42
